,studentNumber,questionNumber,Set,Inequality,Trigonometric_function,Logarithm_versus_exponential,Plane_vector,Property_of_function,Image_of_function,Spatial_imagination,Abstract_summarization,Reasoning_and_demonstration,Calculation,Cuo
0,0,0,1,1,null,null,null,null,null,null,null,1,1,1.0
1,0,1,null,null,1,null,null,null,null,1,null,null,null,1.0
2,0,2,null,null,1,null,null,null,null,null,null,null,1,1.0
3,0,3,null,null,null,null,1,null,null,null,null,1,1,1.0
4,0,4,null,null,null,null,null,1,null,1,null,null,null,1.0
5,0,5,null,null,null,null,null,null,1,1,null,1,null,1.0
6,0,6,null,null,null,null,null,1,null,null,1,null,1,1.0
7,0,7,null,null,null,null,1,null,null,null,null,1,1,1.0
8,0,8,null,null,1,null,null,null,null,1,null,null,1,1.0
9,0,9,1,null,1,null,null,1,1,1,null,1,1,1.0
10,0,10,null,null,null,1,null,null,null,null,null,null,1,1.0
11,0,11,null,null,null,null,null,1,null,1,null,null,1,1.0
12,0,12,null,null,1,null,null,null,null,null,null,null,1,1.0
13,0,13,null,null,null,null,1,null,null,null,null,1,1,1.0
14,0,14,null,null,null,null,null,0,0,0,0,0,1,0.0
